month,decision,cash in yen,cash in dollar
0,,0,0
0,T110,-62163467.018695086,0
3,T110,-171834004.38952318,0
6,T110,-262560874.67892876,0
9,T110,-398202953.060111,-51029705226.44562
12,T110,-483809390.57661235,-51029705226.44562
15,T110,-974380834.7182627,-51029705226.44562
18,T110,-1086349702.9313989,-51029705226.44562
21,T110,-1194598669.368923,-160201201769.91278
24,T110,-1307043265.8124676,-160201201769.91278
27,T110,-1403460114.755,-160201201769.91278
30,T110,-1510321599.670097,-160201201769.91278
33,T110,-1606735997.979435,-219293399666.10327
36,T110,-1697762120.6998534,-219293399666.10327
39,T110,-1768578829.6367042,-219293399666.10327
42,T110,-1825819738.477107,-219293399666.10327
45,T110,-1879929672.1542993,-268881218845.116
48,T100,-1875380954.3824453,-268881218845.116
51,T100,-1834139897.6473334,-268881218845.116
54,T100,-1804809634.690495,-268881218845.116
57,T110,-1799758866.5793324,-255728123457.96686
60,T110,-1777255293.8036194,-255728123457.96686
63,T110,-1737405434.8650813,-255728123457.96686
66,T110,-1685085369.8702822,-255728123457.96686
69,T110,-1602527819.6587298,-220328170163.37866
72,T110,-1536879825.1264641,-220328170163.37866
75,T110,-1481960707.2384899,-220328170163.37866
78,T110,-1405875788.6242008,-220328170163.37866
81,T110,-1307396687.1225374,-177051171112.61472
84,T110,-1194641960.1283383,-177051171112.61472
87,T010,-1042595803.4769646,-177051171112.61472
90,T010,-882681096.8854299,-177051171112.61472
93,T010,-714755434.0877934,-93027218050.95847
96,T010,-585838376.4028563,-93027218050.95847
99,T010,-423779122.1071608,-93027218050.95847
102,T010,-281616733.0780063,-93027218050.95847
105,T011,-76698448.30927825,8186716429.70018
108,T011,110719024.34609947,8186716429.70018
111,T011,359821164.00435394,8186716429.70018
114,T011,578717013.5231498,8186716429.70018
117,T001,853735823.8301535,160836931743.8031
120,T001,1086184241.812204,160836931743.8031
123,T001,1292836268.5595224,160836931743.8031
126,T001,1465665353.3085964,160836931743.8031
129,T001,1614493948.2804964,281514746860.58185
132,T001,1723954177.4422693,281514746860.58185
135,T000,1777310749.5200214,281514746860.58185
138,T000,1832235027.683954,281514746860.58185
141,T000,1879843221.8479679,321308411744.95856
144,T000,1920085710.1356604,321308411744.95856
147,T000,1956949929.1082916,321308411744.95856
150,T000,2000008182.0295992,321308411744.95856
153,T000,2048989584.527105,347840201175.80133
156,T000,2095940659.6159635,347840201175.80133
159,T000,2145838889.204208,347840201175.80133
162,T000,2194300484.967451,347840201175.80133
165,T001,2271277792.502917,381552581738.0688
168,T001,2343866833.7799,381552581738.0688
171,T001,2413695086.4145465,381552581738.0688
174,T001,2475365089.769273,381552581738.0688
177,T001,2536403484.8115172,419566269869.85583
180,,2566063392.4367304,419566269869.85583
183,,2594288654.9722643,419566269869.85583
186,,2616880065.9359274,419566269869.85583
189,,2635761756.940238,432735291050.7014
192,,2651956680.810717,432735291050.7014
195,,2664361358.3185396,432735291050.7014
198,,2674686781.4506865,432735291050.7014
201,,2682635331.3507566,438608733720.78394
204,,2688726557.871329,438608733720.78394
207,,2694910523.251915,438608733720.78394
210,,2703851185.8843045,438608733720.78394
213,,2710049343.7498703,442201633555.3798
216,,2715456297.931729,442201633555.3798
219,,2720890080.8302803,442201633555.3798
222,,2723909037.556745,442201633555.3798
225,,2727068621.7261333,444641855472.70667
228,,2730180773.322442,444641855472.70667
231,,2733879671.519725,444641855472.70667
234,,2735537391.4522195,444641855472.70667
237,,2736952722.808658,446435934412.1544
240,,2738042527.797841,446435934412.1544
243,,2738042527.797841,446435934412.1544
246,,2738042527.797841,446435934412.1544
249,,2738042527.797841,446633746652.5265
